category,company,date,end_location,end_time,id,kilometres,notes,start_location,start_time
business,,2026-01-06,"501, 501 Ker Avenue, Saanich",20:53,eb8925a7-1650-412d-8df9-e96696514c96,1.9,Dropping off delivery,"Dairy Queen, Dairy Queen, Glentana Road, View Royal",20:45
business,,2026-01-06,"Dairy Queen, Glentana Road, View Royal",20:45,9e35af7a-3a59-413d-afa6-95d9c603529f,0.6,Picking up food,"1293 craigflower, Craigflower Road, Esquimalt, British Columbia",20:37
business,,2026-01-06,"1293 craigflower, Craigflower Road, Esquimalt, British Columbia",20:37,c0b4a197-5604-41a7-830b-dbd291dec734,3,Dropping off delivery,"Tudor House Liquor Store, Tudor House Liquor Store, 533 Lyall Street, Esquimalt",20:29
business,,2026-01-06,"1293 craigflower, Craigflower Road, Esquimalt, British Columbia",20:37,731e2aa2-2b57-43e1-869e-ba28d50ed375,3,Dropping off delivery,"Tudor House Liquor Store, Tudor House Liquor Store, 533 Lyall Street, Esquimalt",20:29
business,,2026-01-06,"1293 craigflower, Craigflower Road, Esquimalt, British Columbia",20:37,2e2f7a95-0f2c-43bf-9821-b7d71f7c10bc,3,Dropping off delivery,"Tudor House Liquor Store, Tudor House Liquor Store, 533 Lyall Street, Esquimalt",20:29
business,,2026-01-06,"Tudor House Liquor Store, 533 Lyall Street, Esquimalt",20:28,c4a1183a-ea02-4d22-a1e3-b18acb34dbc3,3.1,Picking up food,"45, 45, 45 Gorge Road East, Victoria",20:09
business,,2026-01-06,"45, 45 Gorge Road East, Victoria",20:08,346dbe8e-52fe-483d-aa30-845cf6aae325,1.2,Dropping off delivery,"Audley Street, Saanich, British Columbia",19:57
business,,2026-01-06,"Audley Street, Saanich, British Columbia",19:57,ec875325-30ea-45ff-9a1c-af29c4b6917d,6.3,,"940, Lovat Avenue, Saanich, British Columbia",19:29
business,,2026-01-06,"940, Lovat Avenue, Saanich, British Columbia",19:29,a9337d71-5fe8-4352-9035-c0d4ca532042,1.4,Dropping off delivery,"Cascadia Liquor Store, Uptown Boulevard, Saanich",19:19
business,,2026-01-06,"Uptown Boulevard, Saanich, British Columbia",19:17,244e0ce2-4d00-4746-8255-a7235a1e34b1,1,Picking up food,"Blanshard Street, Saanich, British Columbia",19:11
personal,,2026-01-14,"3420, Quadra Street, Saanich, British Columbia",22:39,814e3900-7069-47b9-9569-b2db38b77e95,2.5,Home,"3313, Cedar Hill Road, Saanich, British Columbia",22:33
business,,2026-01-14,"3313, Cedar Hill Road, Saanich, British Columbia",22:31,3746adf9-3caa-40dd-8a05-6e69f81085f5,3.9,Dropping off delivery,"Esso, 4001 Quadra Street, Saanich",22:23
business,,2026-01-14,"Esso, 4001 Quadra Street, Saanich",22:22,488384dd-c913-4aea-ae92-8d76f2b18301,0.1,Picking up food,"Dairy Queen, Dairy Queen, Dairy Queen, Dairy Queen, Dairy Queen, Dairy Queen, 3993 Quadra Street, Saanich",22:21
business,,2026-01-14,"Dairy Queen, Dairy Queen, Dairy Queen, Dairy Queen, Dairy Queen, 3993 Quadra Street, Saanich",22:09,14122843-0132-41f0-b63f-8be66d77ae92,3,Going to hot zone,"4541, Chatterton Way, Saanich, British Columbia",21:59
business,,2026-01-14,"4541, Chatterton Way, Saanich, British Columbia",21:59,9009074a-db66-4aca-93e5-7d99c9299d87,3.7,,"659, Hess Crescent, Saanich, British Columbia",21:48
business,,2026-01-14,"659, Hess Crescent, Saanich, British Columbia",21:48,faccc08f-370c-4b79-b41a-8a72a16b3591,3.5,Dropping off delivery,"7-Eleven, Douglas Street, Saanich",21:41
business,,2026-01-14,"7-Eleven, Douglas Street, Saanich",21:41,59d0a28b-4b15-42d6-9b40-9d727ebb1423,2.3,Picking up food,"Indian Aroma Restaurant, 612 Fisgard Street, Victoria",21:32
business,,2026-01-14,"Indian Aroma Restaurant, 612 Fisgard Street, Victoria, BC, V8W 1S7, 612 Fisgard Street, Victoria, British Columbia, V8W 1S7",21:31,41170804-8ed8-4f37-8b82-6fe9fcdd7eb9,0.5,,"827 Princess Avenue, Victoria, BC, V8T 4H9, Victoria, British Columbia, V8T 4H9",21:28
business,,2026-01-14,"827, Princess Avenue, Victoria, British Columbia",21:27,d0ff6be4-05c5-4606-a226-e669e8a665f0,2.8,Dropping off delivery,"Pinhalla, 516 Fisgard Street, Victoria",21:17
business,,2026-01-14,"Pinhalla, 516 Fisgard Street, Victoria",21:16,e7193629-7541-45ea-aaed-11368324b9a1,0.4,Picking up food,"629, Pandora Avenue, Victoria, British Columbia",21:09
business,,2026-01-14,"629, Pandora Avenue, Victoria, British Columbia",21:09,fa7ccc19-694d-4959-8cdc-aba12ad482f5,1.6,Going to hot zone,"1330, Pandora Avenue, Victoria, British Columbia",21:04
business,,2026-01-14,"1334, Pandora Avenue, Victoria, British Columbia",21:02,b35f762b-d77c-4a48-ab5e-da6504ac2034,4.3,Dropping off delivery,"Bin 4 Burger Lounge, Maple Street, Saanich",20:50
business,,2026-01-14,"Bin 4 Burger Lounge, Maple Street, Saanich",20:50,a27d4ab2-5950-4f0c-bed6-c775d6d5f4d4,0.7,Picking up food,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:41
business,,2026-01-14,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:41,0bf4457e-5c25-4182-aa92-56254cab57c8,1.7,Going to hot zone,"215, Sims Avenue, Saanich, British Columbia",20:36
business,,2026-01-14,"220, Sims Avenue, Saanich, British Columbia",20:34,c1cf9ab8-d6d6-4be4-945d-ae8a42da7533,1.9,Dropping off delivery,"3500 Uptown Boulevard, Saanich, BC, V8Z 3L0, Saanich, British Columbia, V8Z 3L0",20:22
business,,2026-01-14,"3500, Uptown Boulevard, Saanich, British Columbia",20:22,8d891e7f-a437-41ce-be5e-779ee219ed2a,0.5,Picking up food,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:19
business,,2026-01-14,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:19,33262968-1cce-498c-852a-c8b445930eb7,1,Going to hot zone,"961, 961, Tattersall Drive, Saanich, British Columbia",20:14
business,,2026-01-14,"961, Tattersall Drive, Saanich, British Columbia",20:13,e132e63b-e5b5-455d-8377-2d9f43842d68,1,Dropping off delivery,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:09
business,,2026-01-14,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:08,617e8929-287a-4612-a6b9-33df6e05be4c,1.7,Picking up food,"3420, 3420, 3420, 3420, 3420, Quadra Street, Saanich, British Columbia",19:56
business,,2026-01-13,"3420, 3420, 3420, 3420, Quadra Street, Saanich, British Columbia",22:54,b09799a0-1645-471d-b1bb-092fa9bc4afd,2.3,Home,"Sevenoaks Road, Saanich, BC, V8X 3G5, Saanich, British Columbia, V8X 3G5",22:49
business,,2026-01-13,"Sevenoaks Road, Saanich, British Columbia",22:47,d11b5fb5-333e-4713-8a7c-865014ebda59,1.1,Dropping off delivery,"Dairy Queen, Dairy Queen, Dairy Queen, Dairy Queen, 3993 Quadra Street, Saanich",22:43
business,,2026-01-13,"Dairy Queen, Dairy Queen, Dairy Queen, Dairy Queen, 3993 Quadra Street, Saanich",22:27,32ab4432-0b60-489a-a266-417094f93610,3,Picking up food,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",22:21
business,,2026-01-13,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",22:15,41895463-74bc-424d-bc78-d6fb0b3d52e4,11.7,Going to hot zone,"3053, Westridge Place, Highlands, British Columbia",21:56
business,,2026-01-13,"3053, Westridge Place, Highlands, British Columbia",21:55,7c223cc7-b519-46e8-b7c0-fa5dc7d3bf3b,8.3,Dropping off delivery,"The liquor co, The liquor co, 4144, Wilkinson Road, Saanich, British Columbia",21:41
business,,2026-01-13,"4144, Wilkinson Road, Saanich, British Columbia",21:39,09c16254-856f-41c7-8649-8f6c5c1ca636,1.5,Picking up food,"The liquor co, 4144, Wilkinson Road, Saanich, British Columbia",21:37
business,,2026-01-13,"The liquor co, 4144, Wilkinson Road, Saanich, British Columbia",21:37,714a5d87-c5d7-4a59-9c60-5886e25fd455,1.5,Picking up food,"4193 Carey Road, Saanich, BC, V8Z 6E5, Saanich, British Columbia, V8Z 6E5",21:32
business,,2026-01-13,"4193, Carey Road, Saanich, British Columbia",21:29,3941774c-4cb1-477e-adc4-1bcb7f2a7cf7,1.6,Dropping off delivery,"4291, Glanford Avenue, Saanich, British Columbia",21:25
business,,2026-01-13,"4291, Glanford Avenue, Saanich, British Columbia",21:23,296e26ce-b66c-4489-8ec2-fc246527abc4,5.8,Picking up food,"4011, 4011, Bow Road, Saanich, British Columbia",21:15
business,,2026-01-13,"4011, Bow Road, Saanich, British Columbia",21:13,556bad56-ef7f-49b7-b84c-979aafd4fd8a,2.9,Dropping off delivery,"Dairy Queen, Dairy Queen, Dairy Queen, 3993 Quadra Street, Saanich",21:03
business,,2026-01-13,"Dairy Queen, Dairy Queen, Dairy Queen, 3993 Quadra Street, Saanich",21:03,7366c7f2-8c77-448a-b7f3-66e94bb015eb,6.5,Picking up food,"7, 7, Stillwater Road, View Royal, British Columbia",20:54
business,,2026-01-13,"7, Stillwater Road, View Royal, British Columbia",20:53,37bbae05-a073-4a9d-a614-a18c93f9c722,1.3,Dropping off delivery,"Craigflower Road, Esquimalt, British Columbia",20:44
business,,2026-01-13,"Craigflower Road, Esquimalt, British Columbia",20:43,b57c7cac-a409-4085-b21c-def152be1716,4.6,Dropping off delivery,"Noodle Box, Uptown Boulevard, Saanich",20:35
business,,2026-01-13,"Noodle Box, Uptown Boulevard, Saanich",20:35,7eea8d9b-0e62-4eec-af9b-668dc667405c,0.4,Picking up food,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:17
business,,2026-01-13,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:17,1e713aa4-f849-4848-bfe6-b6b8bffbe63c,1.9,Going to hot zone,"3420, 3420, 3420, Quadra Street, Saanich, British Columbia",20:10
business,,2026-01-12,"3420, 3420, Quadra Street, Saanich, British Columbia",22:56,ad215ab2-1074-4624-adb4-8489eddb9fcd,7.4,Home,"4446, Greentree Terrace, Saanich, British Columbia",22:41
business,,2026-01-12,"4446, Greentree Terrace, Saanich, British Columbia",22:41,ea9d5faa-d6f0-420d-bdac-a19c3040e956,0.6,Dropping off delivery,"1883, San Pedro Avenue, Saanich, British Columbia",22:37
business,,2026-01-12,"1883, San Pedro Avenue, Saanich, British Columbia",22:35,c5b97bc1-bcf9-427e-bf30-bfbf26b0bb11,7.1,Dropping off delivery,"Tattersall Drive, Tattersall Drive, Saanich, British Columbia",22:23
business,,2026-01-12,"Tattersall Drive, Saanich, British Columbia",22:22,b40b9f21-8590-4711-a143-8e2c61402222,4.4,Dropping off delivery,"Nubo Japanese Tapas, 739 Pandora Avenue, Victoria",22:14
business,,2026-01-12,"Nubo Japanese Tapas, 739 Pandora Avenue, Victoria",22:14,dcd5ec75-57d2-4f0a-add6-fe25cd28d1e0,0.8,Picking up food,"Leopold's Tavern, 570 Yates Street, Victoria",22:05
business,,2026-01-12,"570, Yates Street, Victoria, British Columbia",22:04,b3f03c66-9e97-40fc-b3fd-b2e2f7257610,0.6,Picking up food,"760, Pandora Avenue, Victoria, British Columbia",21:56
business,,2026-01-12,"760, Pandora Avenue, Victoria, British Columbia",21:51,990e023b-0349-4877-9e4c-c73b60ec8aa1,1.2,Going to hot zone,"Johnson Street, Johnson Street, Victoria, British Columbia",21:43
business,,2026-01-12,"Johnson Street, Victoria, British Columbia",21:42,d979705d-9595-49c4-a67f-4d52e4c6c10b,2.4,Dropping off delivery,"Biryani Palace, 2709 Quadra Street, Victoria",21:34
business,,2026-01-12,"Biryani Palace, 2709 Quadra Street, Victoria",21:33,4640539d-7dc3-42a6-a435-46d86596f289,1.8,Picking up food,"Kings Road, Kings Road, Victoria",21:25
business,,2026-01-12,"Kings Road, Kings Road, Victoria",21:24,1d831baf-8cde-4145-8543-03251bf5269b,3.8,Dropping off delivery,"1723 Christmas Avenue, Saanich, BC, V8P 2P7, Saanich, British Columbia, V8P 2P7",21:15
business,,2026-01-12,"1723, Christmas Avenue, Saanich, British Columbia",21:12,3036481c-3246-4409-bd85-5dc802dd0a12,1.4,Dropping off delivery,"Popeyes, Popeyes, 1646 McKenzie Avenue, Saanich",20:47
business,,2026-01-12,"Popeyes, 1646 McKenzie Avenue, Saanich",20:47,0965746e-0cae-4370-91f3-3db0881566dc,2.6,Going to hot zone,"2425, 2425, Sinclair Road, Saanich, British Columbia",20:33
business,,2026-01-12,"2425, Sinclair Road, Saanich, British Columbia",20:33,e8e8e167-f07b-4dc0-a4cd-b872542d7f69,1.8,Dropping off delivery,"Dave's Hot Chicken, McKenzie Avenue, Saanich",20:24
business,,2026-01-12,"Dave's Hot Chicken, McKenzie Avenue, Saanich",20:24,191de7ea-03e2-4d71-8c73-df5a10d1428f,2.6,Picking up food,"Dairy Queen, Dairy Queen, 3993 Quadra Street, Saanich",20:19
business,,2026-01-12,"Dairy Queen, 3993 Quadra Street, Saanich",20:14,6eeb47e2-669f-4473-87ae-879ccff460f1,1.5,Picking up food,"3420, Quadra Street, Saanich, British Columbia",20:09
business,,2026-01-10,"3420, Quadra Street, Saanich, British Columbia",22:36,684b5f64-3bd1-4a2a-87ae-6da0d0be92d3,4.1,Home,"135, 135, Gorge Road East, Victoria, British Columbia",22:25
business,,2026-01-10,"135, Gorge Road East, Victoria, British Columbia",22:23,c0cb8b40-ab48-4d03-972c-7a93bcde09ab,3.7,Dropping off delivery,"560, Yates Street, Victoria, British Columbia",22:14
business,,2026-01-10,"560, Yates Street, Victoria, British Columbia",22:12,35c8bea4-37a6-41bd-bdb9-467715c1f878,0.3,Picking up food,"555, Johnson Street, Victoria, British Columbia",22:09
business,,2026-01-10,"555, Johnson Street, Victoria, British Columbia",22:03,9e505f0b-31b7-4981-b9ec-baa9aa7f6a84,1.4,Going to hot zone,"701, Esquimalt Road, Victoria, British Columbia",21:38
business,,2026-01-10,"701, Esquimalt Road, Victoria, British Columbia",21:32,88514848-3b8b-4a54-8407-ba8a84c983e5,4.6,Dropping off delivery,"Papa johns, Papa johns, Burnside Road West, Saanich, British Columbia",21:22
business,,2026-01-10,"Papa johns, Burnside Road West, Saanich, British Columbia",21:20,32a69d67-453e-4442-bcc9-49fb2af27016,2.3,Picking up food,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",21:16
business,,2026-01-10,"McDonald's, 3465 Saanich Road, Saanich, BC, V8Z 3L0, 3465 Saanich Road, Saanich, British Columbia, V8Z 3L0",21:12,907195a5-0194-4350-b6ce-d538d3b07a02,2,,"555 Tait Street, Saanich, BC, V8Z 6E2, Saanich, British Columbia, V8Z 6E2",21:02
business,,2026-01-10,"555 Tait Street, Saanich, BC, V8Z 6E2, Saanich, British Columbia, V8Z 6E2",21:11,88969a9e-0e1a-4ca8-b8ba-cdc0114b9bec,1.6,Dropping off delivery,"3896, Carey Road, Saanich, British Columbia",20:54
business,,2026-01-10,"3896, Carey Road, Saanich, British Columbia",20:54,cdf30580-91bb-46e9-bf75-e76dda898585,2.9,,"McDonald's, 3465 Saanich Road, Saanich, BC, V8Z 3L0, 3465 Saanich Road, Saanich, British Columbia, V8Z 3L0",20:45
business,,2026-01-10,"McDonald's, 3465 Saanich Road, Saanich, BC, V8Z 3L0, 3465 Saanich Road, Saanich, British Columbia, V8Z 3L0",20:45,57d9b85b-5bf2-41cb-8b8f-2aa772b47bcf,3.3,Going to hot zone,"1618, Clawthorpe Avenue, Victoria, British Columbia",20:35
business,,2026-01-10,"1618, Clawthorpe Avenue, Victoria, British Columbia",20:33,20861a74-a523-49d7-8804-5c4003da9423,4.4,Dropping off delivery,"Brown's Social House, Brown's Social House, Uptown Boulevard, Saanich",20:25
business,,2026-01-10,"Brown's Social House, Brown's Social House, Uptown Boulevard, Saanich",20:15,0b322241-e2b0-463b-9ef5-17819e920022,0.7,Picking up food,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:12
business,,2026-01-10,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",20:03,c06dc0fd-2ce1-4926-a6ec-de8175d11355,1.1,Going to hot zone,"3546, Calumet Avenue, Saanich, British Columbia",19:59
business,,2026-01-10,"3555, Calumet Avenue, Saanich, British Columbia",19:58,4b0401c4-81ce-448b-ba8f-b45463aa1c2b,0.4,Dropping off delivery,"Brown's Social House, Uptown Boulevard, Saanich",19:53
business,,2026-01-10,"Brown's Social House, Uptown Boulevard, Saanich",19:48,acc180dc-34f6-4ea5-a3c4-dca849350750,0.7,Picking up food,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",19:19
business,,2026-01-10,"McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, McDonald's, 3465 Saanich Road, Saanich",19:19,c7fae449-42fc-43eb-bf31-7cd6d3242cb0,3.6,,"1025, Kings Road, Victoria, British Columbia",19:08
business,,2026-01-10,"1025, Kings Road, Victoria, British Columbia",19:08,f367042e-9950-453d-acfd-6988753d5eda,3.7,Dropping off delivery,"Thai Green Elephant, 809 Craigflower Road, Esquimalt",19:01
business,,2026-01-10,"Thai Green Elephant, 809 Craigflower Road, Esquimalt",18:59,4d5fa348-0d11-4321-95a3-552707198877,2.9,Picking up food,"708, Belton Avenue, Victoria, British Columbia",18:48
